"fecha_comprob","comprobante","puntoventa","numero_comprob","cliente","clientenombre","cuit","ctadeudorescodigo","ctadeudores","ctaventascodigo","ctaventas","total_comprob","imputacion_numero","comprob2","comprob2_nro","fecha_comprob2"
"01/01/2020",Factura de Venta Mostrador,"00005 - Guardia Factura Electronica","00000666",CL000268,CONSUMIDOR FINAL GUARDIA,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,4250.0000000000,"2017-00000362",Recibo de Cobranza Mostrador,"2020-00000235","01/01/2020"
"01/02/2020",Factura de Venta Mostrador,"00005 - Guardia Factura Electronica","00000776",CL000268,CONSUMIDOR FINAL GUARDIA,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,1300.0000000000,"2017-00000501",Recibo de Cobranza Mostrador,"2020-00000360","01/02/2020"
"01/02/2020",Factura de Venta Mostrador,"00005 - Guardia Factura Electronica","00000777",CL000268,CONSUMIDOR FINAL GUARDIA,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,1300.0000000000,"2017-00000494",Recibo de Cobranza Mostrador,"2020-00000353","01/02/2020"
"01/02/2020",Factura de Venta Mostrador,"00005 - Guardia Factura Electronica","00000778",CL000268,CONSUMIDOR FINAL GUARDIA,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,4000.0000000000,"2017-00000502",Recibo de Cobranza Mostrador,"2020-00000361","01/02/2020"
"01/02/2020",Factura de Venta Mostrador,"00005 - Guardia Factura Electronica","00000779",CL000268,CONSUMIDOR FINAL GUARDIA,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,1300.0000000000,"2017-00000495",Recibo de Cobranza Mostrador,"2020-00000354","01/02/2020"
"01/02/2020",Factura de Venta Mostrador,"00005 - Guardia Factura Electronica","00000780",CL000268,CONSUMIDOR FINAL GUARDIA,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,1300.0000000000,"2017-00000496",Recibo de Cobranza Mostrador,"2020-00000355","01/02/2020"
"01/02/2020",Factura de Venta Mostrador,"00005 - Guardia Factura Electronica","00000781",CL000268,CONSUMIDOR FINAL GUARDIA,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,3060.0000000000,"2017-00000503",Recibo de Cobranza Mostrador,"2020-00000362","01/02/2020"
"01/02/2021",Factura de Venta,"00001 - Factura Electronica","00003301",CL000315,PUNTA NORTE S.R.L,"33-71204938-9","01.01.04.01.99",Otros a cobrar,"04.01.01.01.04",Otras Prestaciones,60000.0000000000,"2017-00000863",Recibo de Cobranza,"202000000392","17/02/2021"
"01/03/2020",Factura de Venta Mostrador,"00005 - Guardia Factura Electronica","00000863",CL000268,CONSUMIDOR FINAL GUARDIA,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,1300.0000000000,"2017-00000556",Recibo de Cobranza Mostrador,"2020-00000415","01/03/2020"
"01/03/2020",Factura de Venta Mostrador,"00005 - Guardia Factura Electronica","00000864",CL000268,CONSUMIDOR FINAL GUARDIA,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,3875.0000000000,"2017-00000555",Recibo de Cobranza Mostrador,"2020-00000414","01/03/2020"
