"fecha_comprob","comprobante","puntoventa","numero_comprob","estado","flag","cliente","clientenombre","cuit","ctadeudorescodigo","ctadeudores","ctaventascodigo","ctaventas","total_comprob","imputacion_numero","comprob2","comprob2_nro","comprob2_estado","comprob2_flag","fecha_comprob2"
"01/01/2020",Factura de Venta Mostrador,"00005 - Guardia Factura Electronica","00000666",C,Cerrada,CL000268,CONSUMIDOR FINAL GUARDIA,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,4250.0000000000,"2017-00000362",Recibo de Cobranza Mostrador,"2020-00000235",C,,"01/01/2020"
"01/02/2020",Factura de Venta Mostrador,"00005 - Guardia Factura Electronica","00000776",C,Cerrada,CL000268,CONSUMIDOR FINAL GUARDIA,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,1300.0000000000,"2017-00000501",Recibo de Cobranza Mostrador,"2020-00000360",C,,"01/02/2020"
"01/02/2020",Factura de Venta Mostrador,"00005 - Guardia Factura Electronica","00000777",C,Cerrada,CL000268,CONSUMIDOR FINAL GUARDIA,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,1300.0000000000,"2017-00000494",Recibo de Cobranza Mostrador,"2020-00000353",C,,"01/02/2020"
"01/02/2020",Factura de Venta Mostrador,"00005 - Guardia Factura Electronica","00000778",C,Cerrada,CL000268,CONSUMIDOR FINAL GUARDIA,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,4000.0000000000,"2017-00000502",Recibo de Cobranza Mostrador,"2020-00000361",C,,"01/02/2020"
"01/02/2020",Factura de Venta Mostrador,"00005 - Guardia Factura Electronica","00000779",C,Cerrada,CL000268,CONSUMIDOR FINAL GUARDIA,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,1300.0000000000,"2017-00000495",Recibo de Cobranza Mostrador,"2020-00000354",C,,"01/02/2020"
"01/02/2020",Factura de Venta Mostrador,"00005 - Guardia Factura Electronica","00000780",C,Cerrada,CL000268,CONSUMIDOR FINAL GUARDIA,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,1300.0000000000,"2017-00000496",Recibo de Cobranza Mostrador,"2020-00000355",C,,"01/02/2020"
"01/02/2020",Factura de Venta Mostrador,"00005 - Guardia Factura Electronica","00000781",C,Cerrada,CL000268,CONSUMIDOR FINAL GUARDIA,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,3060.0000000000,"2017-00000503",Recibo de Cobranza Mostrador,"2020-00000362",C,,"01/02/2020"
"01/02/2021",Factura de Venta,"00001 - Factura Electronica","00003301",C,Cerrada,CL000315,PUNTA NORTE S.R.L,"33-71204938-9","01.01.04.01.99",Otros a cobrar,"04.01.01.01.04",Otras Prestaciones,60000.0000000000,"2017-00000863",Recibo de Cobranza,"202000000392",C,,"17/02/2021"
"01/03/2020",Factura de Venta Mostrador,"00005 - Guardia Factura Electronica","00000863",C,Cerrada,CL000268,CONSUMIDOR FINAL GUARDIA,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,1300.0000000000,"2017-00000556",Recibo de Cobranza Mostrador,"2020-00000415",C,,"01/03/2020"
"01/03/2020",Factura de Venta Mostrador,"00005 - Guardia Factura Electronica","00000864",C,Cerrada,CL000268,CONSUMIDOR FINAL GUARDIA,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,3875.0000000000,"2017-00000555",Recibo de Cobranza Mostrador,"2020-00000414",C,,"01/03/2020"
"01/03/2021",Factura de Venta,"00001 - Factura Electronica","00003349",C,Cerrada,CL000269,CONSUMIDOR FINAL CNRT,xx,"01.01.04.01.04",Consumidor Final a Cobrar,"04.01.01.01.01",Prestaciones Ambulatorias,3691.5900000000,"2017-00000804",Recibo de Cobranza,"202000000359",C,,"18/01/2021"
"01/04/2020",Factura de Venta,"00001 - Factura Electronica","00002791",C,Cerrada,CL000023,INSTITUTO NACIONAL DE SERVICIOS SOCIALES PARA JUBILADOS Y PENSIONADOS,"30-52276392-2","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,841647.4200000000,"2017-00000641",Recibo de Cobranza,"202000000214",C,,"22/04/2020"
"01/06/2020",Factura de Venta,"0001 - Factura Electronica","00002957",C,Cerrada,CL000284,CHINA GEZHOUBA GROUP COMPANY LIMITED ELECTROINGENIERIA S.A.,"30-71432572-4","01.01.04.01.99",Otros a cobrar,"04.01.01.01.04",Otras Prestaciones,65000.0000000000,"2022-00000139",Recibo de Cobranza,"2022-00000057",C,,"03/07/2020"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00000039",C,Cerrada,CL000041,OBRA SOCIAL UNION PERSONAL DE LA UNION DEL PESONAL CIVIL DE LA NACION,"30-68303222-7","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,259065.9200000000,,,,,,//
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002789",C,Anulada,CL000023,INSTITUTO NACIONAL DE SERVICIOS SOCIALES PARA JUBILADOS Y PENSIONADOS,"30-52276392-2","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,361955.0100000000,"2023-00001335",Factura de Ventas Anulada,"0000100002789",C,,"01/07/2020"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002980",C,Cerrada,CL000198,CAJA DE SERVICIOS SOCIALES DE LA PROVINCIA DE SANTA CRUZ ,"30-63824739-5","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,1854020.7000000000,"2017-00000801",Recibo de Cobranza,"202000000355",C,,"29/01/2021"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002981",C,Cerrada,CL000055,OBRA SOCIAL DE LOS EMPLEADOS DE COMERCIO Y ACTIVIDADES CIVILES,"30-55027355-8","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,409155.3100000000,"2017-00000726",Recibo de Cobranza,"202000000308",C,,"18/12/2020"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002982",C,Cerrada,CL000186,CLINICA DEL VALLE SALUD SRL,"33-71021054-9","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,253524.2700000000,"2022-00000576",Nota de Crédito de Venta,"0000100000700",C,Cerrada,"29/06/2022"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002982",C,Cerrada,CL000186,CLINICA DEL VALLE SALUD SRL,"33-71021054-9","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,253524.2700000000,"2022-00000592",Recibo de Cobranza,"2022-00000362",C,,"22/06/2022"
"01/07/2020",Factura de Venta,"00001 - Factura Electronica","00002983",C,Cerrada,CL000113,OBRA SOCIAL DEL PERSONAL DE LA CONSTRUCCION,"30-61445509-4","01.01.04.01.01",Obra Sociales a cobrar,"04.01.01.01.02",Prestaciones Obras Sociales,28491.0200000000,,,,,,//
