                                             Detalle        Precio
0  PVC-CREMONA O.B. C.V. AG.8 NT 380-520 S/B - 25...    659,66 ARS
1  PVC-CREMONA O.B. C.V. AG.8 NT 521-620 S/B - 25...    659,66 ARS
2  PVC-CREMONA O.B. C.V. AG.8 NT 801-1200 1E - 62...    934,53 ARS
3  PVC-CREMONA O.B. C.V. AG.8 NT  1201-1600 2E - ...  1.153,46 ARS
4  PVC-CREMONA O.B. C.V. AG.8 NT  1601-2000 2E - ...  1.407,70 ARS
5  PVC-CREMONA O.B. C.V. AG.8 NT   2001-2400 4E -...  1.748,33 ARS
6      PVC-CREMONA O.B. C.V. NT 310-450 S/B - 259717    538,95 ARS
7     PVC-CREMONA O.B. C.V. NT  451-620 S/B - 259718    535,98 ARS
8        PVC-CREMONA O.B. C.V. NT 621-8001E - 259719    578,20 ARS
                                             Detalle        Precio
0      PVC-CREMONA O.B. C.V. NT 801-1200 E1 - 259720    727,40 ARS
1     PVC-CREMONA O.B. C.V. NT 1201-1600 2E - 259721    896,24 ARS
2  PVC-CREMONA O.B C.V NX 1601-2000 V-259762 - 79...  1.210,36 ARS
3  PVC-CREMONA. PRACT. C.V. NT AG-25  1601-2000 2...  1.550,03 ARS
4  PVC-CREM O.B C.V AG25  2001-2400 N-788326 - 25...  1.858,25 ARS
5  PVC-CREMONA PRACT. C.V.AG 8 NT 238/390 1E BULO...    758,84 ARS
6        PVC- CREMONA PRACT. C.V AG8 NT 391 - 260137    803,45 ARS
7  PVC- CREMONA PRACT. C.V AG8 NT 501-800 NT - 26...    902,14 ARS
8  PVC- CREMONA PRACT. C.V AG7.5 801-1100 NT - 26...  1.087,66 ARS
                                             Detalle        Precio
0  PVC-CREMONA PRACT. C.V. AG8 NT 1101-1400 3E - ...  1.374,30 ARS
1  PVC-CREM. PR.CV.AG8 NT 1401-1800 4E N-795425 -...  1.693,36 ARS
2  PVC-CREMONA PRACT. CV AG. 8 NT 1801-2400 4E N-...  2.088,93 ARS
3  PVC-CREMONA. PRACT. CV. AG15 NT 180-250 1E BUL...    571,34 ARS
4  PVC-CREMONA. PRACT. CV. AG15 NT 251-5001E BULO...    533,03 ARS
5  PVC-CREMONA. PRACT. CV. AG15 NT 501-800 2E BUL...    752,94 ARS
6  PVC-CREMONA. PRACT. CV. AG15 NT 801-1100 3E BU...    879,53 ARS
7  PVC-CREMONA. PRACT. CV. AG15 NT 1101-1400 3E B...    990,48 ARS
8  PVC-CREMONA. PRACT. C.V. AG15NT 1401-1800 4E B...  1.264,34 ARS
                                             Detalle        Precio
0  PVC-CREMONA. PRACT. C.V. NT AG-25 251-500 1E B...    824,59 ARS
1  PVC-CREMONA. PRACT. C.V. NT AG-25  501-800 2E ...  1.034,68 ARS
2  PVC-CREMONA. PRACT. C.V. NT AG-25  1101-14003E...  1.285,96 ARS
3  PVC-CREMONA. PRACT. C.V. NT AG-25  1401-1800 4...  1.561,81 ARS
4  PVC-CREMONA. PRACT. C.V. NT AG-25  1801-2400 4...  1.924,01 ARS
5  PVC-CREMONA. OB.CV C/LLAVE AG-25NT 1601-2000 -...  3.550,61 ARS
6  PVC-CREMONA. OB.CV C/LLAVE AG-25NT  2001-2400 ...  4.079,74 ARS
7  PVC-MAN. R- LINE DOS CARAS R7.1 BL. SIN LOGO N...  6.248,20 ARS
8  PVC-MAN. R- LINE DOS CARAS  MAR. R4.1 S. SIN L...  6.248,20 ARS
                                             Detalle        Precio
0  PVC-MAN. R- LINE DOS CARAS  R1.3 TITAN S/LOGO....  6.248,20 ARS
1      PVC-ANGULO DE CAMBIO NT 1V  351-1600 - 260272    435,88 ARS
2         PVC-ANGULO DE CAMBIO EST V-260288 - 281288  1.199,58 ARS
3  PVC-GUIA COMPAS NX  150/290-410MM V-260201 - 7...    648,88 ARS
4  PVC-GUIA COMPAS NX 250/411-600/490MM V-256024 ...    571,34 ARS
5  PVC-GUIA COMPAS NX  350/601-800MM V-260204 - 7...    638,08 ARS
6  PVC-GUIA COMPAS NT  500/801-1000MM 1E N-788617...    791,23 ARS
7  PVC-GUIA COMPAS NT  500/1001-1200MM 1E N-78734...    923,76 ARS
8  PVC-GUIA COMPAS NT  500/1201-1400MM 1E N-78735...  1.133,78 ARS
                                             Detalle      Precio
0  PVC-COMPAS  NX 150/290-410 IZQ. 12/20/13 V-258...  617,48 ARS
1  PVC-COMPAS NX 150/290-410 DER. 12/20/13 V-2580...  617,48 ARS
2  PVC-COMPAS  NX  250 /411-600 IZQ/ 12/20/13 V-2...  630,20 ARS
3  PVC-COMPAS  NX  250 /411-600 DER./ 12/20/13 V-...  630,20 ARS
4  PVC-COMPAS  NX  350 /601-800  IZQ./ 12/20/13 V...  673,44 ARS
5  PVC-COMPAS  NX  350 /601-800  DER. 12/20/13 V-...  673,44 ARS
6  PVC-COMPAS  NT  500 /801-1400  IZQ 12/20/13 N-...  781,39 ARS
7  PVC-COMPAS  NT  500 /801-1400  DER 12/20/13 N-...  781,39 ARS
8  PVC-FALSO COMPAS  K/A 12/20/13 IZQ. NX V-23063...  376,95 ARS
                                             Detalle        Precio
0  PVC-FALSO COMPAS  K/A 12/20/13 DER. NX V-23064...    376,95 ARS
1                 PVC-BASE FALSO COMPAS  NT - 331488    203,24 ARS
2                     PVC-SEGUNDO COMPAS NT - 255237  1.638,39 ARS
3  PVC-COMPAS  ABAT. NT (FIJACION A HERRAJE) - 48...    451,59 ARS
4      PVC-SOPORTE COMPAS NX 3/100 N-836147 - 787188    168,85 ARS
5       PVC-EJE SOPORTE COMPAS NX  N-834705 - 788504     27,51 ARS
6              PVC-PERNIO NX 3/100 V-258590 - 787208    182,60 ARS
7  PVC- BISAGRA ANGULAR K6/130 RSIL NX V-230343 -...    154,13 ARS
8  PVC-BISAGRA INTERM. K 12/20/13 REG. V-264007-2...    569,39 ARS
                                             Detalle      Precio
0  PVC-CERRAD. BATIENTE CANAL DE HERRAJES NT - 26...   82,48 ARS
1                               PVC-PASADOR - 305638  456,48 ARS
2                       PVC-PLETINA CONXION - 350401   71,68 ARS
3   PVC-MEC.FALSA MANIOBRA HOJA NT N-795927 - 260538  118,79 ARS
4  PVC-FALSA MANIOBRA  BATIENTE CANAL HERRAJE NT....  118,79 ARS
5                    PVC-INT. OCULTO HOJA14 - 331485   35,35 ARS
6  PVC-CERRAD.LATERAL BAS NT (REHAU-VERATEC) - 33...   44,18 ARS
7  PVC-CERRADERO BASCULACION (REHAU-VERATEC) - 33...  118,79 ARS
8    PVC-CERRAD. PASADOR NT (REHAU-VERATEC) - 260434  140,38 ARS
                                             Detalle      Precio
0  PVC-CIERR. INTERM OCUL. MARC (REHAU-VERATEC) -...   71,68 ARS
1  PVC-MEC.FALSA MANIOBRA MARCO (REHAU-VERATEC) -...   76,56 ARS
2          PVC-SUPLEMENTO PLASTICO REHAU 13 - 294469   71,68 ARS
3           PVC-SUPLEMENTO PLASTICO VEKA 13 - 294364  106,04 ARS
4  PVC-CERRAD.LATERAL BAS NT (VEKA-WINTECH-SCHUCO...   44,18 ARS
5  PVC-CERRAD.BASC MARCO TOPLINE (TECNOCOM-WINTEC...  118,79 ARS
6  PVC-CERRAD. PASAD NT TOPLINE (TECNOCOM-WINTECH...  140,38 ARS
7  PVC-CIERR. INTER OCUL. MARC (TECNOCOM-WINTECH-...   71,68 ARS
8  PVC-MEC.FALSA MANIOBRA MARCO (TECNOCOM-WINTECH...   76,56 ARS
                                             Detalle        Precio
0           PVC-CIERRE CENTRAL BASE 1P BUL. - 260286    549,71 ARS
1  PVC-PROLONG, CIERRE CENTRAL NT 400 1E BUL.. - ...    318,08 ARS
2  PVC-PROLONG. CIERRE CENTRAL NT 600 1E BUL - 25...    395,61 ARS
3   PVC-CIERRE CENTRAL  CREM. NT 600 1E BUL - 255282    494,75 ARS
4        PVC-PROLONG DE CREMONA S/BULON 330 - 489993    406,40 ARS
5              PVC-MAN. PLANA 7/35 MM PLATA - 336112  1.705,13 ARS
6               PVC-MAN PLANA 7/35MM BRONCE - 336111  1.705,13 ARS
7        PVC-MAN. PLANA 7/35 MM BLANCA FOLD - 336110  1.878,72 ARS
8  PVC-MANILLAR R -LINE+TORN.BL.R07.2 35 S/LOGO -...    494,75 ARS
                                             Detalle        Precio
0  PVC-MANILLAR R -LINE+TORN.MR.R04.1 35 S/LOGO N...    494,75 ARS
1  PVC-MANILLAR R -LINE+TORN.TIT .R01.3 35 S/LOGO...    494,75 ARS
2           PVC-MAN. R- LINE 35 MARR/ LLAVE - 228042  2.770,21 ARS
3  PVC-MAN. R- LINE  35 3AC C/ LLAVE BLANCO N-227...  2.770,21 ARS
4                  PVC-EMB. COMPAS K DORADO - 230245     76,56 ARS
5            PVC-EMB.SOP.COMP K DORADO MATE - 230199     42,20 ARS
6  PVC-EMB. BASE PERNIO K DORADO MATE V-230420 - ...     56,94 ARS
7                 PVC-EMB. BISAGRA K DORADO - 230484    109,94 ARS
8          PVC-EMB.COMPAS K BLANCO N-788410 - 788402     15,70 ARS
                                             Detalle     Precio
0  PVC-EMB.SOP. COMPAS P 6/130 BLANCO N-861167 - ...  37,30 ARS
